,text,score,time
0,,Empty,2024-08-02_16-45-00
1,,Empty,2024-08-02_16-45-24
2,,Empty,2024-08-02_16-45-34
3,,Empty,2024-08-02_16-45-42
4,healthy,Empty,2024-08-02_16-46-02
5,asbaewt,Empty,2024-08-02_16-46-14
6,AMD,Empty,2024-08-02_16-46-29
7,wet AMD,Empty,2024-08-02_16-46-41
8,,Empty,2024-08-02_16-46-54
9,,Empty,2024-08-02_16-47-02
10,,Empty,2024-08-02_16-47-07
11,,Empty,2024-08-02_16-47-28
12,,Empty,2024-08-02_16-47-38
13,,Empty,2024-08-02_16-47-44
14,,Empty,2024-08-02_16-47-50
15,,Empty,2024-08-02_16-47-59
16,,Empty,2024-08-02_16-48-11
17,,Empty,2024-08-02_16-48-18
18,,Empty,2024-08-02_16-48-23
19,,Empty,2024-08-02_16-48-31
